Date_InitialTag,Transect,TransectNum,NewTagNum,Species,Size_Class,MaxDiameter,Height,immune_y/n,Date_DocumentedDisease,Date_DocumentedMortality,062019_TL-052022_TL,052022_TL-122022_TL,122022_TL-092023_TL,092023_TL-012024_TL,012024_TL-042024_TL,042024_TL-062025_TL
6/23/2019,LAGOON,3,13,PAST,4,22,8,n,Healthy,Healthy,-10,0,n/a,n/a,0,0
6/23/2019,LAGOON,3,15,MCAV,4,29,24,n,5/20/2022,5/24/2023,-57.89473684,-62.5,-100,,,
10/14/2019,LAGOON,3,16,PSTR,3,24,25,n,Unknown,5/20/2022,-100,,,,,
6/23/2019,LAGOON,3,17,MCAV,4,29,14,n,5/20/2022,12/3/2022,-58.33333333,-100,,,,
6/23/2019,LAGOON,3,18,PAST,3,18,13,n,5/20/2022,Diseased,-43.58974359,-9.090909091,-5,-5.263157895,0,-11.11111111
6/23/2019,LAGOON,3,19,SSID,4,32,27,n,5/20/2022,Diseased,-52.63157895,-22.22222222,-14.28571429,-25,-55.55555556,-25
6/23/2019,LAGOON,3,22,MCAV,4,29,27,n,5/20/2022,12/3/2022,-36.11111111,-100,,,,
6/23/2019,LAGOON,3,23,SSID,5,20,12,n,5/20/2022,Diseased,-94.73684211,0,0,0,0,-50
6/23/2019,LAGOON,3,24,PAST,3,20,12,n,Unknown,5/20/2022,-17.5,12.12121212,n/a,n/a,n/a,n/a
6/23/2019,LAGOON,3,24,SSID,3,NA,NA,n,NA,NA,exclude,exclude,exclude,exclude,exclude,exclude
6/23/2019,LAGOON,3,26,SSID,4,34,18,n,,5/20/2022,-84.21052632,-33.33333333,n/a,n/a,n/a,n/a
6/23/2019,LAGOON,3,27,MMEA,4,30,28,n,Unknown,5/20/2022,-100,,,,,
6/23/2019,LAGOON,3,28,SSID,4,22,24,n,5/20/2022,Diseased,-10,-5.555555556,-29.41176471,0,-16.66666667,-60
6/23/2019,LAGOON,3,29,MMEA,4,32,38,n,Unknown,5/20/2022,-100,,,,,
10/14/2019,LAGOON,3,30,PSTR,4,44,35,n,Unknown,5/20/2022,-100,,,,,
10/14/2019,LAGOON,3,31,PSTR,4,30,15,n,Healthy,12/3/2022,-10.25641026,-100,,,,
10/14/2019,LAGOON,3,32,PSTR,4,30,22,n,Unknown,5/20/2022,-100,,,,,
6/23/2019,LAGOON,3,35,MMEA,2,NA,NA,n,Unknown,5/20/2022,exclude,exclude,exclude,exclude,exclude,exclude
6/23/2019,LAGOON,3,36,SSID,3,35,24,n,5/20/2022,Diseased,n/a,0,0,0,-2.631578947,-2.702702703
6/23/2019,LAGOON,3,65,SSID,3,43,24,n,5/20/2022,Diseased,n/a,-25,-33.33333333,0,0,0
12/3/2022,LAGOON,3,67,MCAV,NA,19,37,n,12/3/2022,9/25/2023,n/a,n/a,-100,,,
12/3/2022,LAGOON,3,68,OANN,NA,32,18,n,Healthy,Healthy,n/a,n/a,0,0,-5.263157895,-22.22222222
12/3/2022,LAGOON,3,69,DLAB,NA,20,22,n,Healthy,Healthy,n/a,n/a,0,0,0,-5.263157895
12/3/2022,LAGOON,3,71,MCAV,NA,25,44,n,Healthy,Healthy,n/a,n/a,0,0,0,0
12/3/2022,LAGOON,3,72,OANN,NA,33,19,n,Healthy,Healthy,n/a,n/a,-7.692307692,-22.22222222,-39.28571429,-70.58823529
12/3/2022,LAGOON,3,73,DLAB,NA,35,35,n,Healthy,Healthy,n/a,n/a,0,0,0,0
12/3/2022,LAGOON,3,74,PSTR,NA,22,25,n,5/24/2023,9/25/2023,n/a,n/a,-100,,,
12/3/2022,LAGOON,3,75,PSTR,NA,23,19,n,Healthy,Healthy,n/a,n/a,0,-21.05263158,-26.66666667,-22.72727273
6/23/2019,LAGOON,3,378,MMEA,4,NA,NA,n,Unknown,5/20/2022,exclude,exclude,exclude,exclude,exclude,exclude
6/23/2019,LAGOON,3,12flag,PAST,3,NA,NA,n,NA,5/20/2022,exclude,exclude,exclude,exclude,exclude,exclude
12/5/2022,CURLEW,4,43,DLAB,NA,39,25,n,Healthy,Healthy,n/a,n/a,0,-2.5,-2.564102564,-2.631578947
12/5/2022,CURLEW,4,77,OFAV,NA,80,70,n,Healthy,Healthy,n/a,n/a,-8.333333333,0,-6.060606061,-3.225806452
12/5/2022,CURLEW,4,80,PSTR,NA,26,18,n,Healthy,9/26/2023,n/a,n/a,-100,,,
12/5/2022,CURLEW,4,92,OFAV,NA,75,70,n,Healthy,Healthy,n/a,n/a,-15.78947368,-6.25,0,-6.666666667
12/5/2022,CURLEW,4,93,DLAB,NA,65,37,n,Healthy,Healthy,n/a,n/a,-15.38461538,0,0,-3.03030303
12/5/2022,CURLEW,4,94,MCAV,NA,35,33,n,12/5/2022,9/26/2023,n/a,n/a,-100,,,
12/5/2022,CURLEW,4,95,MCAV,NA,18,10,n,12/5/2022,9/26/2023,n/a,n/a,-100,,,
12/5/2022,CURLEW,4,96,PSTR,NA,40,30,n,12/5/2022,Could not find 9/26/23,exclude,exclude,exclude,exclude,exclude,exclude
12/5/2022,CURLEW,4,97,PSTR,NA,33,22,n,12/5/2022,9/26/2023,n/a,n/a,-100,,,
